Timestamp,Jitter,Latency,Download Bandwidth,Upload Bandwidth,Download Throughput,Upload Throughput,Packet Loss
2022-03-06 06:28:36+00:00,0.187,31.813,24682798,2415381,0.1670533913811645,0.017832485616501133,0.0
2022-03-06 07:03:31+00:00,2.115,31.916,28200975,1751682,0.16533553407359455,0.012485559885843368,3.0
2022-03-06 07:18:23+00:00,2.373,46.61,24157125,3092552,0.15469119685640748,0.023236191412616118,1.6666666666666667
2022-03-06 09:42:24+00:00,0.1,47.927,43280947,3571007,0.2941531638191888,0.024000888909743077,6.333333333333333
2022-03-06 10:00:19+00:00,0.105,35.87,37697264,2729725,0.22672045133973184,0.02039369079152728,0.0
2022-03-06 10:43:13+00:00,10.756,52.949,27051422,1769526,0.15818973289115595,0.013310810446833136,1.6666666666666667
2022-03-06 11:04:49+00:00,4.071,39.9,29160203,1094697,0.1903669478829083,0.008118062543512791,0.0
2022-03-06 14:24:54+00:00,2.52,39.608,22243323,3959746,0.13383953571796386,0.029429756012053485,3.6666666666666665
2022-03-06 14:42:05+00:00,0.121,31.887,24897125,2940165,0.17076771087687315,0.0177715516028367,0.0
2022-03-06 15:25:38+00:00,2.581,27.675,30525512,2799128,0.19680277845368713,0.021175512730988187,1.3333333333333333
2022-03-06 15:39:39+00:00,0.206,71.87,32541512,2091014,0.23367249271437254,0.015792278421336205,0.0
2022-03-06 16:25:48+00:00,0.039,31.897,24531847,3370282,0.171760710836452,0.01985737924287431,0.5154639175257731
2022-03-06 16:40:24+00:00,0.299,31.684,16238822,1541873,0.10839847818467954,0.010943295217207041,0.0
2022-03-06 17:24:37+00:00,0.121,31.879,32890184,3830809,0.20567228008248953,0.028936549050921107,0.0
2022-03-06 17:38:55+00:00,0.068,42.577,29351447,2988652,0.18403554356472887,0.02261866247124779,0.3333333333333333
2022-03-06 18:24:45+00:00,0.108,39.9,36632147,2338592,0.24372705485026042,0.0176310610929364,0.0
2022-03-06 18:47:39+00:00,5.01,39.949,31997961,4679910,0.19827695887926566,0.034567633019298605,0.0
2022-03-06 19:24:48+00:00,0.472,47.942,38194134,2083287,0.24025824806444726,0.01589973967779672,0.0
2022-03-06 19:45:23+00:00,2.153,31.881,15907998,1080000,0.09780980836858762,0.008085701090990409,1.8867924528301887
2022-03-06 20:24:45+00:00,0.1,47.913,31166457,3048218,0.20638210609310964,0.02215398955871136,0.0
